area_fips,locality_name,industry_code,industry_title,annual_avg_emplvl,locality_published_employment,local_industry_share,state_industry_share,location_quotient,is_specialized,ranking_eligible_specialization
51001,Accomack County,11,"Agriculture, Forestry, Fishing and Hunting",199.0,8289.0,0.024007721076124984,0.0013468139528155627,17.825566052338548,True,True
51001,Accomack County,23,Construction,349.0,8289.0,0.04210399324405839,0.06470425061563047,0.6507144869689198,False,False
51001,Accomack County,31-33,Manufacturing,3229.0,8289.0,0.38955241886837977,0.0672927065446581,5.788924816240781,True,True
51001,Accomack County,42,Wholesale Trade,167.0,8289.0,0.020147183013632525,0.02169027363433848,0.9288579458830318,False,False
51001,Accomack County,44-45,Retail Trade,1176.0,8289.0,0.1418747737965979,0.1306402726983419,1.0859956954024224,False,False
51001,Accomack County,51,Information,96.0,8289.0,0.01158161418747738,0.014621627646955715,0.7920878897424748,False,False
51001,Accomack County,52,Finance and Insurance,199.0,8289.0,0.024007721076124984,0.03703244844786244,0.6482887867899197,False,False
51001,Accomack County,53,Real Estate and Rental and Leasing,148.0,8289.0,0.017854988539027627,0.01976416290424415,0.9034022146818802,False,False
51001,Accomack County,54,"Professional, Scientific, and Technical Services",905.0,8289.0,0.10918084207986488,0.1370489560234782,0.7966557735847389,False,False
51001,Accomack County,71,"Arts, Entertainment, and Recreation",173.0,8289.0,0.02087103390034986,0.022075563852834112,0.9454360504440927,False,False
51001,Accomack County,72,Accommodation and Food Services,1337.0,8289.0,0.1612981059235131,0.11121647217792784,1.4503076996136237,True,True
51001,Accomack County,81,Other Services,287.0,8289.0,0.03462420074797925,0.04436895963131947,0.7803699035471293,False,False
51001,Accomack County,99,Unclassified,24.0,8289.0,0.002895403546869345,0.002188870490411141,1.3227843125270944,True,False
51003,Albemarle County,11,"Agriculture, Forestry, Fishing and Hunting",719.0,40694.0,0.01766845235169804,0.0013468139528155627,13.118703080526831,True,True
51003,Albemarle County,21,"Mining, Quarrying, and Oil and Gas Extraction",43.0,40694.0,0.0010566668304909815,0.0003393412966785737,3.113876326970788,True,False
51003,Albemarle County,22,Utilities,24.0,40694.0,0.000589767533297292,0.002142581206210252,0.27526029425995907,False,False
51003,Albemarle County,23,Construction,2266.0,40694.0,0.05568388460215265,0.06470425061563047,0.8605908278412425,False,False
51003,Albemarle County,31-33,Manufacturing,2428.0,40694.0,0.059664815451909374,0.0672927065446581,0.8866460945855023,False,False
51003,Albemarle County,42,Wholesale Trade,675.0,40694.0,0.016587211873986336,0.02169027363433848,0.7647304111335256,False,False
51003,Albemarle County,44-45,Retail Trade,5478.0,40694.0,0.1346144394751069,0.1306402726983419,1.0304206864750016,False,False
51003,Albemarle County,48-49,Transportation and Warehousing,825.0,40694.0,0.020273258957094413,0.05047574152199847,0.4016436083115068,False,False
51003,Albemarle County,51,Information,822.0,40694.0,0.02019953801543225,0.014621627646955715,1.3814835463709731,True,True
51003,Albemarle County,52,Finance and Insurance,1043.0,40694.0,0.02563031405121148,0.03703244844786244,0.6921042254955437,False,False
51003,Albemarle County,53,Real Estate and Rental and Leasing,1139.0,40694.0,0.02798938418440065,0.01976416290424415,1.4161684620799304,True,True
51003,Albemarle County,54,"Professional, Scientific, and Technical Services",4035.0,40694.0,0.09915466653560721,0.1370489560234782,0.7234981528689703,False,False
51003,Albemarle County,55,Management of Companies and Enterprises,1234.0,40694.0,0.030323880670369095,0.02744546118252103,1.1048777963214267,False,False
51003,Albemarle County,56,Administrative and Support and Waste Management,2124.0,40694.0,0.05219442669681034,0.06910888022477532,0.7552492028093779,False,False
51003,Albemarle County,61,Educational Services,1096.0,40694.0,0.026932717353909667,0.020240329879222408,1.330646166076438,True,True
51003,Albemarle County,62,Health Care and Social Assistance,8447.0,40694.0,0.20757359807342607,0.15625628606777636,1.3284175843229165,True,True
51003,Albemarle County,71,"Arts, Entertainment, and Recreation",1783.0,40694.0,0.04381481299454465,0.022075563852834112,1.984765294632309,True,True
51003,Albemarle County,72,Accommodation and Food Services,4516.0,40694.0,0.11097459084877377,0.11121647217792784,0.9978251303568855,False,False
51003,Albemarle County,81,Other Services,1859.0,40694.0,0.04568241018331941,0.04436895963131947,1.0296029152568362,False,False
51003,Albemarle County,99,Unclassified,138.0,40694.0,0.003391163316459429,0.002188870490411141,1.5492754511128972,True,True
51005,Alleghany County,31-33,Manufacturing,339.0,1765.0,0.19206798866855523,0.0672927065446581,2.8542170248582783,True,True
51005,Alleghany County,44-45,Retail Trade,240.0,1765.0,0.1359773371104816,0.1306402726983419,1.0408531328196426,False,False
51005,Alleghany County,48-49,Transportation and Warehousing,91.0,1765.0,0.05155807365439093,0.05047574152199847,1.0214426197566757,False,False
51005,Alleghany County,54,"Professional, Scientific, and Technical Services",77.0,1765.0,0.04362606232294618,0.1370489560234782,0.31832465995196996,False,False
51005,Alleghany County,61,Educational Services,69.0,1765.0,0.039093484419263455,0.020240329879222408,1.9314647860257772,True,False
51005,Alleghany County,62,Health Care and Social Assistance,830.0,1765.0,0.4702549575070821,0.15625628606777636,3.009510652922523,True,True
